,Sentence,Source,Side,Readability,split
0,"Time lags in reporting to national surveillance systems represent a major barrier for the control of infectious diseases, preventing timely decision making and resource allocation.",plos_computational_biology,complex,4.3,train
1,"This issue is particularly acute for infectious diseases like malaria, which often impact rural and remote communities the hardest.",plos_computational_biology,complex,4.3,train
2,"In Guyana, a country located in South America, poor connectivity among remote malaria-endemic regions hampers surveillance efforts, making reporting delays a key challenge for elimination.",plos_computational_biology,complex,4.0,train
3,"Here, we analyze 13 years of malaria surveillance data, identifying key correlates of time lags between clinical cases occurring and being added to the central data system.",plos_computational_biology,complex,3.7,train
4,We develop nowcasting methods that use historical patterns of reporting delays to estimate occurred-but-not-reported monthly malaria cases.,plos_computational_biology,complex,3.7,train
5,"To assess their performance, we implemented them retrospectively, using only information that would have been available at the time of estimation, and found that they substantially enhanced the estimates of malaria cases.",plos_computational_biology,complex,4.3,train
6,"Specifically, we found that the best performing models achieved up to two-fold improvements in accuracy (or error reduction) over known cases in selected regions.",plos_computational_biology,complex,4.0,train
7,"Our approach provides a simple, generalizable tool to improve malaria surveillance in endemic countries and is currently being implemented to help guide existing resource allocation and elimination efforts.",plos_computational_biology,complex,4.3,train
8,"Infectious disease monitoring systems worldwide are often threatened by severe reporting delays, hindering resource planning efforts, particularly for endemic diseases like malaria and in remote localities.",plos_computational_biology,simple,4.0,train
9,"In Guyana, a country located in South America, regions facing infrastructural barriers and consisting of highly mobile or socially disadvantaged populations oftentimes face the greatest delays in reporting local health facility data to the country's central database.",plos_computational_biology,simple,4.3,train
10,"To better characterize and address this issue, we analyzed time and spatial trends in malaria reporting delays across administrative regions and implement methods to transform incomplete case data to more accurate current case counts.",plos_computational_biology,simple,4.3,train
11,We first identify factors which significantly spatially overlap with areas marked by increased reporting delays.,plos_computational_biology,simple,4.3,train
12,"We then introduce methods which build on prior case information only available at the time of the target month of interest to anticipate the total number of cases to occur that month, a fraction of which are not known until the subsequent month (s).",plos_computational_biology,simple,4.0,train
13,We compared our regional monthly estimates with eventually reported cases and found that they were up to two times more accurate than case counts known at the month of reporting.,plos_computational_biology,simple,3.7,train
14,Our models provide a widely accessible and adaptable tool for improving on malaria surveillance efforts.,plos_computational_biology,simple,4.3,train
15,"Genome-wide association studies (GWAS) have discovered thousands loci associated with disease risk and quantitative traits, yet most of the variants responsible for risk remain uncharacterized.",plos_genetics,complex,5.0,train
16,The majority of GWAS-identified loci are enriched for non-coding single-nucleotide polymorphisms (SNPs) and defining the molecular mechanism of risk is challenging.,plos_genetics,complex,5.3,train
17,Many non-coding causal SNPs are hypothesized to alter transcription factor (TF) binding sites as the mechanism by which they affect organismal phenotypes.,plos_genetics,complex,5.0,train
18,We employed an integrative genomics approach to identify candidate TF binding motifs that confer breast cancer-specific phenotypes identified by GWAS.,plos_genetics,complex,5.3,train
19,"We performed de novo motif analysis of regulatory elements, analyzed evolutionary conservation of identified motifs, and assayed TF footprinting data to identify sequence elements that recruit TFs and maintain chromatin landscape in breast cancer-relevant tissue and cell lines.",plos_genetics,complex,5.3,train
20,We identified candidate causal SNPs that are predicted to alter TF binding within breast cancer-relevant regulatory regions that are in strong linkage disequilibrium with significantly associated GWAS SNPs.,plos_genetics,complex,5.3,train
21,We confirm that the TFs bind with predicted allele-specific preferences using CTCF ChIP-seq data.,plos_genetics,complex,6.0,train
22,We used The Cancer Genome Atlas breast cancer patient data to identify ANKLE1 and ZNF404 as the target genes of candidate TF binding site SNPs in the 19p13. 11 and 19q13. 31 GWAS-identified loci.,plos_genetics,complex,6.0,train
23,These SNPs are associated with the expression of ZNF404 and ANKLE1 in breast tissue.,plos_genetics,complex,5.3,train
24,This integrative analysis pipeline is a general framework to identify candidate causal variants within regulatory regions and TF binding sites that confer phenotypic variation and disease risk.,plos_genetics,complex,5.0,train
25,The promise of effective personalized medicine is dependent upon the ability to identify genetic variants in the population that influence disease risk and then use this information to accurately predict the likelihood of disease incidence for individual patients.,plos_genetics,simple,4.3,train
26,"High-risk individuals may be entered into clinical trails, pre-clinical intervention strategies, or increased frequency of screening to detect early disease onset.",plos_genetics,simple,4.0,train
27,"However, the contribution of any one genetic variant to increase disease susceptibility is typically small, with many potential causal variants in the genomic region associated with risk.",plos_genetics,simple,4.3,train
28,"Therefore, it is important to understand the biological mechanisms by which the variants within a genetic region influence disease susceptibility by refining the set of all variants to those that are highly plausible to be causal.",plos_genetics,simple,4.0,train
29,"Herein, we describe a method to integrate molecular genomics data with genetic epidemiological data to inform on the underlying molecular mechanisms that influence breast cancer risk.",plos_genetics,simple,5.0,train
30,This approach identifies the important transcription factors that directly regulate gene expression to modulate disease susceptibility.,plos_genetics,simple,4.7,train
31,Many drugs require extensive metabolism en route to their targets.,pnas,complex,4.3,train
32,High-resolution visualization of prodrug metabolism should therefore utilize analogs containing a small modification that does not interfere with its metabolism or mode of action.,pnas,complex,4.7,train
33,"In addition to serving as mechanistic probes, such analogs provide candidates for theranostics when applied in both therapeutic and diagnostic modalities.",pnas,complex,5.0,train
34,"Here a traceable mimic of the widely used anticancer prodrug cytarabine (ara-C) was generated by converting a single hydroxyl group to azide, giving "" AzC. """,pnas,complex,6.0,train
